index,LOC,ZC,CITY,BOUROUGHS_STATE,LAT,LONG,num_calls
129,Club/Bar/Restaurant,11205,,"BROOKLYN, NY",40.69332462,-73.96710163,108
130,Club/Bar/Restaurant,11226,,"BROOKLYN, NY",40.6395296,-73.95128856,287
131,Club/Bar/Restaurant,11218,,"BROOKLYN, NY",40.63555239,-73.97802189,55
132,Club/Bar/Restaurant,10030,NEW YORK,"MANHATTAN, NY",40.81726755,-73.9422565,120
133,Club/Bar/Restaurant,10009,NEW YORK,"MANHATTAN, NY",40.72894882,-73.97836993,62
134,Club/Bar/Restaurant,11205,,"BROOKLYN, NY",40.69355175,-73.96476476,16
135,Club/Bar/Restaurant,10014,NEW YORK,"MANHATTAN, NY",40.73434974,-74.00300933,301
136,Club/Bar/Restaurant,10024,NEW YORK,"MANHATTAN, NY",40.78536042,-73.97298193,186
137,Club/Bar/Restaurant,11205,,"BROOKLYN, NY",40.69313307,-73.96920047,75
138,Club/Bar/Restaurant,10003,NEW YORK,"MANHATTAN, NY",40.7296035,-73.98823774,183
139,Club/Bar/Restaurant,10464,BRONX,"BRONX, NY",40.85256252,-73.78944935,12
140,Club/Bar/Restaurant,11209,,"BROOKLYN, NY",40.63283667,-74.02723013,70
141,Club/Bar/Restaurant,11106,ASTORIA,"QUEENS, NY",40.76115165,-73.92364989,42
142,Club/Bar/Restaurant,10034,NEW YORK,"MANHATTAN, NY",40.8658736,-73.92765489,126
143,Club/Bar/Restaurant,11355,FLUSHING,"QUEENS, NY",40.75548196,-73.81543034,16
144,Club/Bar/Restaurant,11414,HOWARD BEACH,"QUEENS, NY",40.64998168,-73.83758618,399
145,Club/Bar/Restaurant,11209,,"BROOKLYN, NY",40.62204852,-74.03163848,15
146,Club/Bar/Restaurant,11205,,"BROOKLYN, NY",40.69357091,-73.96460248,36
147,Club/Bar/Restaurant,10038,NEW YORK,"MANHATTAN, NY",40.70586461,-74.00376907,20
148,Club/Bar/Restaurant,11416,OZONE PARK,"QUEENS, NY",40.68555676,-73.84149102,32
149,Club/Bar/Restaurant,11226,,"BROOKLYN, NY",40.64595269,-73.95197214,42
150,Club/Bar/Restaurant,10463,BRONX,"BRONX, NY",40.87959654,-73.90430103,17
151,Club/Bar/Restaurant,10036,NEW YORK,"MANHATTAN, NY",40.7602542,-73.98904452,11
152,Club/Bar/Restaurant,11226,,"BROOKLYN, NY",40.63980683,-73.95130637,26
153,Club/Bar/Restaurant,11215,,"BROOKLYN, NY",40.66071028,-73.99409972,30
154,Club/Bar/Restaurant,11249,,"BROOKLYN, NY",40.72100987,-73.95542824,102
155,Club/Bar/Restaurant,11101,LONG ISLAND CITY,"QUEENS, NY",40.75624515,-73.92120466,129
156,Club/Bar/Restaurant,11201,,"BROOKLYN, NY",40.68689522,-73.99090992,23
157,Club/Bar/Restaurant,11358,FLUSHING,"QUEENS, NY",40.75803956,-73.79561736,15
158,Club/Bar/Restaurant,11372,JACKSON HEIGHTS,"QUEENS, NY",40.75578209,-73.883331,57
159,Club/Bar/Restaurant,10001,NEW YORK,"MANHATTAN, NY",40.75045253,-73.98729207,15
160,Club/Bar/Restaurant,10471,BRONX,"BRONX, NY",40.88956351,-73.89903879,16
161,Club/Bar/Restaurant,10022,NEW YORK,"MANHATTAN, NY",40.7581599,-73.9625937,92
162,Club/Bar/Restaurant,10029,NEW YORK,"MANHATTAN, NY",40.79578676,-73.94676079,11
163,Club/Bar/Restaurant,11217,,"BROOKLYN, NY",40.67915413,-73.98342993,1513
164,Club/Bar/Restaurant,10026,NEW YORK,"MANHATTAN, NY",40.80285303,-73.95650039,91
165,Club/Bar/Restaurant,10012,NEW YORK,"MANHATTAN, NY",40.72951901,-73.99981238,120
166,Club/Bar/Restaurant,10454,BRONX,"BRONX, NY",40.80746061,-73.919309,76
167,Club/Bar/Restaurant,10003,NEW YORK,"MANHATTAN, NY",40.73321576,-73.98992216,65
168,Club/Bar/Restaurant,10009,NEW YORK,"MANHATTAN, NY",40.72386918,-73.98388421,40
169,Club/Bar/Restaurant,10009,NEW YORK,"MANHATTAN, NY",40.72277419,-73.98517963,26
170,Club/Bar/Restaurant,11237,,"BROOKLYN, NY",40.70279083,-73.92937189,21
171,Club/Bar/Restaurant,11215,,"BROOKLYN, NY",40.67301996,-73.98651012,19
172,Club/Bar/Restaurant,11209,,"BROOKLYN, NY",40.62986376,-74.02845743,15
173,Club/Bar/Restaurant,11004,GLEN OAKS,"QUEENS, NY",40.7378916,-73.71046402,44
174,Club/Bar/Restaurant,10003,NEW YORK,"MANHATTAN, NY",40.73683863,-73.98783593,24
175,Club/Bar/Restaurant,11372,JACKSON HEIGHTS,"QUEENS, NY",40.74736158,-73.88645672,24
176,Club/Bar/Restaurant,10310,STATEN ISLAND,"STATEN ISLAND, NY",40.6301397,-74.10879366,53
177,Club/Bar/Restaurant,11201,,"BROOKLYN, NY",40.68598692,-73.99416238,11
178,Club/Bar/Restaurant,10001,NEW YORK,"MANHATTAN, NY",40.7505438,-73.99836504,10
179,Club/Bar/Restaurant,11216,,"BROOKLYN, NY",40.68282211,-73.93799942,1?
180,Club/Bar/Restaurant,10014,NEW YORK,"MANHATTAN, NY",40.73416286,-74.00798156,57
181,Club/Bar/Restaurant,11215,,"BROOKLYN, NY",40.66046172,-73.98033486,73
182,Club/Bar/Restaurant,10016,NEW YORK,"MANHATTAN, NY",40.7440955,-73.98561878,38
183,Club/Bar/Restaurant,10026,NEW YORK,"MANHATTAN, NY",40.80452411,-73.95530368,12
184,Club/Bar/Restaurant,11232,,"BROOKLYN, NY",40.65162237,-74.00447957,17
185,Club/Bar/Restaurant,11103,ASTORIA,"QUEENS, NY",40.76527581,-73.91791611,29
186,Club/Bar/Restaurant,10307,STATEN ISLAND,"STATEN ISLAND, NY",40.51358865,-74.25123739,50
187,Club/Bar/Restaurant,10002,NEW YORK,"MANHATTAN, NY",40.72136411,-73.99266213,78
188,Club/Bar/Restaurant,11433,JAMAICA,"QUEENS, NY",40.70753056,-73.78659995,388
189,Club/Bar/Restaurant,10040,NEW YORK,"MANHATTAN, NY",40.85359837,-73.93061428,18
190,Club/Bar/Restaurant,11221,,"BROOKLYN, NY",40.69940259,-73.92745325,19
191,Club/Bar/Restaurant,10034,NEW YORK,"MANHATTAN, NY",40.86618344,-73.91893043,87
192,Club/Bar/Restaurant,10034,NEW YORK,"MANHATTAN, NY",40.8692067,-73.9169743,30
193,Club/Bar/Restaurant,11102,ASTORIA,"QUEENS, NY",40.76743782,-73.92062464,112
194,Club/Bar/Restaurant,10034,New York,"MANHATTAN, NY",40.86592029,-73.92770907,117
195,Club/Bar/Restaurant,11211,,"BROOKLYN, NY",40.71758787,-73.95731359,38
196,Club/Bar/Restaurant,11205,,"BROOKLYN, NY",40.69058524,-73.95831169,55
197,Club/Bar/Restaurant,11219,,"BROOKLYN, NY",40.63367687,-74.00656803,14
198,Club/Bar/Restaurant,11206,,"BROOKLYN, NY",40.70547174,-73.94290878,68
199,Club/Bar/Restaurant,11225,,"BROOKLYN, NY",40.66820407,-73.9506476,146
200,Club/Bar/Restaurant,10012,NEW YORK,"MANHATTAN, NY",40.72974957,-73.99961394,41
201,Club/Bar/Restaurant,11385,RIDGEWOOD,"QUEENS, NY",40.70342134,-73.90874124,109
202,Club/Bar/Restaurant,10012,NEW YORK,"MANHATTAN, NY",40.72933786,-74.0010319,99
203,Club/Bar/Restaurant,10002,NEW YORK,"MANHATTAN, NY",40.71892321,-73.98452032,57
204,Club/Bar/Restaurant,11374,REGO PARK,"QUEENS, NY",40.73211582,-73.86718968,20
205,Club/Bar/Restaurant,11225,,"BROOKLYN, NY",40.66064331,-73.96062997,162
206,Club/Bar/Restaurant,11238,,"BROOKLYN, NY",40.67904393,-73.96835251,11
207,Club/Bar/Restaurant,11105,ASTORIA,"QUEENS, NY",40.77478495,-73.90877704,?
208,Club/Bar/Restaurant,11204,,"BROOKLYN, NY",40.61023813,-73.98370275,22
209,Club/Bar/Restaurant,10014,NEW YORK,"MANHATTAN, NY",40.72959583,-74.00282511,25
210,Club/Bar/Restaurant,11231,,"BROOKLYN, NY",40.68237476,-73.99342718,11
211,Club/Bar/Restaurant,10012,NEW YORK,"MANHATTAN, NY",40.7212051,-73.99670626,?
212,Club/Bar/Restaurant,10011,NEW YORK,"MANHATTAN, NY",40.74173312,-74.00308184,91
213,Club/Bar/Restaurant,10128,NEW YORK,"MANHATTAN, NY",40.78124208,-73.95223925,14
214,Club/Bar/Restaurant,11226,,"BROOKLYN, NY",40.64018175,-73.95530567,642
215,Club/Bar/Restaurant,11249,,"BROOKLYN, NY",40.71976847,-73.96084757,16
216,Club/Bar/Restaurant,11211,,"BROOKLYN, NY",40.71134933,-73.95117114,13
217,Club/Bar/Restaurant,11211,,"BROOKLYN, NY",40.71352894,-73.95887449,17
218,Club/Bar/Restaurant,10009,NEW YORK,"MANHATTAN, NY",40.72630655,-73.98411452,11
219,Club/Bar/Restaurant,10016,NEW YORK,"MANHATTAN, NY",40.74505782,-73.97860649,13
220,Club/Bar/Restaurant,10013,NEW YORK,"MANHATTAN, NY",40.71461498,-73.99959599,74
221,Club/Bar/Restaurant,11432,JAMAICA,"QUEENS, NY",40.71447021,-73.80246765,?
222,Club/Bar/Restaurant,10034,NEW YORK,"MANHATTAN, NY",40.86564533,-73.92693205,26
223,Club/Bar/Restaurant,10002,NEW YORK,"MANHATTAN, NY",40.71823482,-73.98931116,40
224,Club/Bar/Restaurant,10012,NEW YORK,"MANHATTAN, NY",40.72916768,-74.00119065,15
225,Club/Bar/Restaurant,10014,NY,"MANHATTAN, NY",40.74011361,-74.00596145,110
226,Club/Bar/Restaurant,10009,NEW YORK,"MANHATTAN, NY",40.72488931,-73.97828105,88
227,Club/Bar/Restaurant,10128,NEW YORK,"MANHATTAN, NY",40.78131764,-73.94922052,35
228,Club/Bar/Restaurant,11223,,"BROOKLYN, NY",40.59655143,-73.97703729,67
229,Club/Bar/Restaurant,11225,,"BROOKLYN, NY",40.65778597,-73.95324671,65
230,Club/Bar/Restaurant,11435,JAMAICA,"QUEENS, NY",40.70252976,-73.81356446,15
231,Club/Bar/Restaurant,11216,,"BROOKLYN, NY",40.68321658,-73.95387066,106
232,Club/Bar/Restaurant,11373,ELMHURST,"QUEENS, NY",40.74238268,-73.87090067,83
233,Club/Bar/Restaurant,10014,NEW YORK,"MANHATTAN, NY",40.73941098,-74.00539123,16
234,Club/Bar/Restaurant,10011,NEW YORK,"MANHATTAN, NY",40.74203508,-73.99834359,24
235,Club/Bar/Restaurant,11231,,"BROOKLYN, NY",40.68261354,-73.99323967,25
236,Club/Bar/Restaurant,10009,NEW YORK,"MANHATTAN, NY",40.72553423,-73.97780461,54
237,Club/Bar/Restaurant,11231,,"BROOKLYN, NY",40.68138125,-74.00444551,34
238,Club/Bar/Restaurant,10031,NEW YORK,"MANHATTAN, NY",40.82925663,-73.94837452,20
239,Club/Bar/Restaurant,11231,,"BROOKLYN, NY",40.67786527,-73.99806758,23
240,Club/Bar/Restaurant,10002,NEW YORK,"MANHATTAN, NY",40.71884964,-73.98921727,38
241,Club/Bar/Restaurant,11225,,"BROOKLYN, NY",40.66217506,-73.95370139,18
242,Club/Bar/Restaurant,10028,NEW YORK,"MANHATTAN, NY",40.77850171,-73.95632493,151
243,Club/Bar/Restaurant,10465,BRONX,"BRONX, NY",40.82837372,-73.8240774,13
244,Club/Bar/Restaurant,10034,NEW YORK,"MANHATTAN, NY",40.86797939,-73.92024792,42
245,Club/Bar/Restaurant,11249,,"BROOKLYN, NY",40.72104319,-73.95643113,?
246,Club/Bar/Restaurant,10031,NEW YORK,"MANHATTAN, NY",40.82283051,-73.95306933,60
247,Club/Bar/Restaurant,11205,,"BROOKLYN, NY",40.68947714,-73.96958077,32
248,Club/Bar/Restaurant,10014,NEW YORK,"MANHATTAN, NY",40.73945487,-74.00597582,12
249,Club/Bar/Restaurant,10019,NEW YORK,"MANHATTAN, NY",40.76516441,-73.9877369,17
250,Club/Bar/Restaurant,11377,WOODSIDE,"QUEENS, NY",40.75739823,-73.90354533,32
251,Club/Bar/Restaurant,10462,BRONX,"BRONX, NY",40.83131818,-73.85090765,16
252,Club/Bar/Restaurant,11211,,"BROOKLYN, NY",40.71153872,-73.94507144,74
253,Club/Bar/Restaurant,10019,NEW YORK,"MANHATTAN, NY",40.76568038,-73.98736136,55
254,Club/Bar/Restaurant,11217,,"BROOKLYN, NY",40.68026692,-73.9746902,43
255,Club/Bar/Restaurant,11373,ELMHURST,"QUEENS, NY",40.7463425,-73.89134499,65
256,Club/Bar/Restaurant,10471,BRONX,"BRONX, NY",40.88945854,-73.8982722,14
257,Club/Bar/Restaurant,11215,,"BROOKLYN, NY",40.67141401,-73.9844268,21
258,Club/Bar/Restaurant,11372,JACKSON HEIGHTS,"QUEENS, NY",40.75006808,-73.88119355,65
259,Club/Bar/Restaurant,10016,NEW YORK,"MANHATTAN, NY",40.74258786,-73.98041167,98
260,Club/Bar/Restaurant,10032,NEW YORK,"MANHATTAN, NY",40.84145055,-73.93577346,21
261,Club/Bar/Restaurant,11234,,"BROOKLYN, NY",40.62526616,-73.92756266,20
262,Club/Bar/Restaurant,11103,ASTORIA,"QUEENS, NY",40.76045412,-73.91527612,177
263,Club/Bar/Restaurant,10312,STATEN ISLAND,"STATEN ISLAND, NY",40.54195147,-74.17742807,51
264,Club/Bar/Restaurant,11222,,"BROOKLYN, NY",40.73349828,-73.95481369,12
265,Club/Bar/Restaurant,11211,,"BROOKLYN, NY",40.71495071,-73.95175288,?
266,Club/Bar/Restaurant,10031,NEW YORK,"MANHATTAN, NY",40.82415421,-73.9483821,24
267,Club/Bar/Restaurant,11423,HOLLIS,"QUEENS, NY",40.70872939,-73.77898909,161
268,Club/Bar/Restaurant,10002,NEW YORK,"MANHATTAN, NY",40.71817453,-73.99037175,12
269,Club/Bar/Restaurant,11105,ASTORIA,"QUEENS, NY",40.77480809,-73.91028259,10
270,Club/Bar/Restaurant,11101,LONG ISLAND CITY,"QUEENS, NY",40.75413091,-73.949068,12
271,Club/Bar/Restaurant,11103,ASTORIA,"QUEENS, NY",40.76494318,-73.91720536,244
272,Club/Bar/Restaurant,10001,NEW YORK,"MANHATTAN, NY",40.74586649,-73.99204952,10
273,Club/Bar/Restaurant,11211,,"BROOKLYN, NY",40.71395678,-73.95793275,15
274,Club/Bar/Restaurant,11694,ROCKAWAY PARK,"QUEENS, NY",40.58073897,-73.83395295,44
275,Club/Bar/Restaurant,11211,,"BROOKLYN, NY",40.71144313,-73.94609232,83
276,Club/Bar/Restaurant,10304,STATEN ISLAND,"STATEN ISLAND, NY",40.62637037,-74.07545381,14
277,Club/Bar/Restaurant,11201,,"BROOKLYN, NY",40.70251036,-73.99306814,12
